127.0.0.1, 2024-03-20 16:21:24, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.328507
127.0.0.1, 2024-03-20 16:21:26, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.058984
127.0.0.1, 2024-03-20 16:21:38, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.089840
127.0.0.1, 2024-03-20 16:21:41, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.102816
127.0.0.1, 2024-03-20 16:21:41, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.001103
127.0.0.1, 2024-03-20 16:21:46, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.056347
127.0.0.1, 2024-03-20 16:21:50, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.104218
127.0.0.1, 2024-03-20 16:34:23, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.598452
127.0.0.1, 2024-03-20 16:34:27, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.141543
127.0.0.1, 2024-03-20 16:34:33, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.070077
127.0.0.1, 2024-03-20 16:34:41, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.101122
127.0.0.1, 2024-03-20 16:34:47, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.253786
127.0.0.1, 2024-03-20 16:34:49, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.287727
127.0.0.1, 2024-03-20 16:34:53, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.289197
127.0.0.1, 2024-03-20 16:36:34, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.182376
127.0.0.1, 2024-03-20 16:36:39, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.305919
127.0.0.1, 2024-03-20 16:36:41, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.048831
127.0.0.1, 2024-03-20 16:36:57, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.209121
127.0.0.1, 2024-03-20 16:41:30, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.344995
127.0.0.1, 2024-03-20 16:41:35, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.258069
127.0.0.1, 2024-03-20 16:45:41, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.618754
127.0.0.1, 2024-03-20 16:45:48, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.103774
127.0.0.1, 2024-03-20 16:45:48, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.000702
127.0.0.1, 2024-03-20 16:45:55, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.045334
127.0.0.1, 2024-03-20 16:46:00, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.117745
127.0.0.1, 2024-03-20 16:46:05, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.128886
127.0.0.1, 2024-03-20 16:46:06, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.000824
127.0.0.1, 2024-03-20 16:46:09, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.049314
127.0.0.1, 2024-03-20 16:46:10, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.063384
127.0.0.1, 2024-03-20 16:47:38, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.342520
127.0.0.1, 2024-03-20 16:47:43, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.094640
127.0.0.1, 2024-03-20 16:47:47, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.023462
127.0.0.1, 2024-03-20 16:47:51, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.028431
127.0.0.1, 2024-03-20 16:48:02, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.146351
127.0.0.1, 2024-03-20 16:56:49, GET, /SIP_application/students/students_view, HTTP/1.1, 304, 0.276988
127.0.0.1, 2024-03-20 16:56:50, GET, /SIP_application/static/build/static/js/main.2f55d4b9.js, HTTP/1.1, 304, 0.001835
127.0.0.1, 2024-03-20 16:56:50, GET, /SIP_application/static/build/static/css/main.ee5f1a32.css, HTTP/1.1, 304, 0.000587
127.0.0.1, 2024-03-20 16:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000461
127.0.0.1, 2024-03-20 16:56:55, POST, /SIP_application/students/register, HTTP/1.1, 400, 0.096654
127.0.0.1, 2024-03-20 16:57:03, GET, /SIP_application/static/build/static/js/main.2f55d4b9.js.map, HTTP/1.1, 200, 0.000754
127.0.0.1, 2024-03-20 16:57:03, GET, /SIP_application/static/build/static/css/main.ee5f1a32.css.map, HTTP/1.1, 200, 0.000727
127.0.0.1, 2024-03-20 16:57:34, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.107537
127.0.0.1, 2024-03-20 16:58:53, GET, /SIP_application/subjects/subjects_view/new/subjects, HTTP/1.1, 200, 0.055328
127.0.0.1, 2024-03-20 16:58:57, POST, /SIP_application/subjects/subjects_view/new/subjects, HTTP/1.1, 303, 0.033961
127.0.0.1, 2024-03-20 16:58:57, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.082202
127.0.0.1, 2024-03-20 16:59:23, GET, /SIP_application/classroom/classrooms_view, HTTP/1.1, 404, 0.025717
127.0.0.1, 2024-03-20 16:59:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2024-03-20 16:59:29, GET, /SIP_application/classroom/classroom_view, HTTP/1.1, 404, 0.078341
127.0.0.1, 2024-03-20 16:59:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000496
127.0.0.1, 2024-03-20 16:59:44, GET, /SIP_application/classrooms/classroom_view, HTTP/1.1, 404, 0.024661
127.0.0.1, 2024-03-20 16:59:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001262
127.0.0.1, 2024-03-20 16:59:49, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.138191
127.0.0.1, 2024-03-20 16:59:51, GET, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 200, 0.030074
127.0.0.1, 2024-03-20 16:59:54, POST, /SIP_application/classrooms/classrooms_view/new/classrooms, HTTP/1.1, 303, 0.081630
127.0.0.1, 2024-03-20 16:59:54, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.031594
127.0.0.1, 2024-03-20 17:00:23, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.110791
127.0.0.1, 2024-03-20 17:00:28, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.066926
127.0.0.1, 2024-03-20 17:04:42, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.799757
127.0.0.1, 2024-03-20 17:15:02, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.557756
127.0.0.1, 2024-03-20 17:15:06, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.216858
127.0.0.1, 2024-03-20 17:15:07, GET, /SIP_application/static/js/attendance.js, HTTP/1.1, 304, 0.000604
127.0.0.1, 2024-03-20 17:15:11, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.126865
127.0.0.1, 2024-03-20 17:15:14, GET, /SIP_application/classrooms/classrooms_view, HTTP/1.1, 200, 0.102911
127.0.0.1, 2024-03-20 17:15:15, GET, /SIP_application/subjects/subjects_view, HTTP/1.1, 200, 0.143427
127.0.0.1, 2024-03-20 17:15:16, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.259861
127.0.0.1, 2024-03-20 17:15:19, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.075876
127.0.0.1, 2024-03-20 17:15:22, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.109244
127.0.0.1, 2024-03-20 17:15:26, GET, /SIP_application/appadmin/index, HTTP/1.1, 200, 0.065897
127.0.0.1, 2024-03-20 17:15:27, GET, /SIP_application/appadmin/hooks, HTTP/1.1, 200, 0.225565
127.0.0.1, 2024-03-20 17:15:28, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.147393
127.0.0.1, 2024-03-20 17:16:03, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.034290
127.0.0.1, 2024-03-20 17:16:07, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.050450
127.0.0.1, 2024-03-20 17:16:10, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.088451
127.0.0.1, 2024-03-20 17:16:16, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.058174
127.0.0.1, 2024-03-20 17:16:35, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.386251
127.0.0.1, 2024-03-20 17:16:42, POST, /SIP_application/students/register, HTTP/1.1, 200, 0.043853
127.0.0.1, 2024-03-20 17:16:44, GET, /SIP_application/attendance/show_attendance, HTTP/1.1, 200, 0.090152
127.0.0.1, 2024-03-20 17:16:48, POST, /SIP_application/attendance/create_attendance, HTTP/1.1, 200, 0.036755
127.0.0.1, 2024-03-20 17:16:50, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.288100
127.0.0.1, 2024-03-20 17:16:52, GET, /SIP_application/appadmin/select/db, HTTP/1.1, 200, 0.061527
127.0.0.1, 2024-03-20 17:17:38, POST, /SIP_application/students/register, HTTP/1.1, 200, 4.127635
127.0.0.1, 2024-03-20 17:17:38, POST, /SIP_application/students/register, HTTP/1.1, 400, 1.319606
